timestamp,position,velocity,acceleration,attitude,body_rate,actuator
23628000,1,0,0,0,0,0
23676000,1,0,0,0,0,0
23728000,1,0,0,0,0,0
23828000,1,0,0,0,0,0
23928000,1,0,0,0,0,0
24028000,1,0,0,0,0,0
24128000,1,0,0,0,0,0
24228000,1,0,0,0,0,0
24328000,1,0,0,0,0,0
24428000,1,0,0,0,0,0
24528000,1,0,0,0,0,0
24628000,1,0,0,0,0,0
24728000,1,0,0,0,0,0
24828000,1,0,0,0,0,0
24928000,1,0,0,0,0,0
25028000,1,0,0,0,0,0
25128000,1,0,0,0,0,0
25228000,1,0,0,0,0,0
25328000,1,0,0,0,0,0
25428000,1,0,0,0,0,0
25528000,1,0,0,0,0,0
25628000,1,0,0,0,0,0
25728000,1,0,0,0,0,0
25828000,1,0,0,0,0,0
25928000,1,0,0,0,0,0
26028000,1,0,0,0,0,0
26128000,1,0,0,0,0,0
26228000,1,0,0,0,0,0
26328000,1,0,0,0,0,0
26428000,1,0,0,0,0,0
26528000,1,0,0,0,0,0
26628000,1,0,0,0,0,0
26728000,1,0,0,0,0,0
26828000,1,0,0,0,0,0
26928000,1,0,0,0,0,0
27028000,1,0,0,0,0,0
27128000,1,0,0,0,0,0
27228000,1,0,0,0,0,0
27328000,1,0,0,0,0,0
27428000,1,0,0,0,0,0
27528000,1,0,0,0,0,0
27628000,1,0,0,0,0,0
27728000,1,0,0,0,0,0
27828000,1,0,0,0,0,0
27928000,1,0,0,0,0,0
28028000,1,0,0,0,0,0
28128000,1,0,0,0,0,0
28228000,1,0,0,0,0,0
28328000,1,0,0,0,0,0
28428000,1,0,0,0,0,0
28528000,1,0,0,0,0,0
28628000,1,0,0,0,0,0
28728000,1,0,0,0,0,0
28828000,1,0,0,0,0,0
28928000,1,0,0,0,0,0
29028000,1,0,0,0,0,0
29128000,1,0,0,0,0,0
29228000,1,0,0,0,0,0
29328000,1,0,0,0,0,0
29428000,1,0,0,0,0,0
29528000,1,0,0,0,0,0
29628000,1,0,0,0,0,0
29728000,1,0,0,0,0,0
29828000,1,0,0,0,0,0
29928000,1,0,0,0,0,0
30028000,1,0,0,0,0,0
30128000,1,0,0,0,0,0
30228000,1,0,0,0,0,0
30328000,1,0,0,0,0,0
30428000,1,0,0,0,0,0
30528000,1,0,0,0,0,0
30628000,1,0,0,0,0,0
30728000,1,0,0,0,0,0
30828000,1,0,0,0,0,0
30928000,1,0,0,0,0,0
31028000,1,0,0,0,0,0
31128000,1,0,0,0,0,0
31228000,1,0,0,0,0,0
31328000,1,0,0,0,0,0
31428000,1,0,0,0,0,0
31528000,1,0,0,0,0,0
31628000,1,0,0,0,0,0
31728000,1,0,0,0,0,0
31828000,1,0,0,0,0,0
31928000,1,0,0,0,0,0
32028000,1,0,0,0,0,0
32128000,1,0,0,0,0,0
32228000,1,0,0,0,0,0
32328000,1,0,0,0,0,0
32428000,1,0,0,0,0,0
32528000,1,0,0,0,0,0
32628000,1,0,0,0,0,0
32728000,1,0,0,0,0,0
32828000,1,0,0,0,0,0
32928000,1,0,0,0,0,0
33028000,1,0,0,0,0,0
33128000,1,0,0,0,0,0
33228000,1,0,0,0,0,0
33328000,1,0,0,0,0,0
33428000,1,0,0,0,0,0
33528000,1,0,0,0,0,0
33628000,1,0,0,0,0,0
33728000,1,0,0,0,0,0
33828000,1,0,0,0,0,0
33928000,1,0,0,0,0,0
34028000,1,0,0,0,0,0
34128000,1,0,0,0,0,0
34228000,1,0,0,0,0,0
34328000,1,0,0,0,0,0
34428000,1,0,0,0,0,0
34528000,1,0,0,0,0,0
34628000,1,0,0,0,0,0
34728000,1,0,0,0,0,0
34828000,1,0,0,0,0,0
34928000,1,0,0,0,0,0
35028000,1,0,0,0,0,0
35128000,1,0,0,0,0,0
35228000,1,0,0,0,0,0
35328000,1,0,0,0,0,0
35428000,1,0,0,0,0,0
35528000,1,0,0,0,0,0
35628000,1,0,0,0,0,0
35728000,1,0,0,0,0,0
35828000,1,0,0,0,0,0
35928000,1,0,0,0,0,0
36028000,1,0,0,0,0,0
36128000,1,0,0,0,0,0
36228000,1,0,0,0,0,0
36328000,1,0,0,0,0,0
36428000,1,0,0,0,0,0
36528000,1,0,0,0,0,0
36628000,1,0,0,0,0,0
36728000,1,0,0,0,0,0
36828000,1,0,0,0,0,0
36928000,1,0,0,0,0,0
37028000,1,0,0,0,0,0
37128000,1,0,0,0,0,0
37228000,1,0,0,0,0,0
37328000,1,0,0,0,0,0
37428000,1,0,0,0,0,0
37528000,1,0,0,0,0,0
37628000,1,0,0,0,0,0
37728000,1,0,0,0,0,0
37828000,1,0,0,0,0,0
37928000,1,0,0,0,0,0
38028000,1,0,0,0,0,0
38128000,1,0,0,0,0,0
38228000,1,0,0,0,0,0
38328000,1,0,0,0,0,0
38428000,1,0,0,0,0,0
38528000,1,0,0,0,0,0
38628000,1,0,0,0,0,0
38728000,1,0,0,0,0,0
38828000,1,0,0,0,0,0
38928000,1,0,0,0,0,0
39028000,1,0,0,0,0,0
39128000,1,0,0,0,0,0
39228000,1,0,0,0,0,0
39328000,1,0,0,0,0,0
39428000,1,0,0,0,0,0
39528000,1,0,0,0,0,0
39628000,1,0,0,0,0,0
39728000,1,0,0,0,0,0
39828000,1,0,0,0,0,0
39928000,1,0,0,0,0,0
40028000,1,0,0,0,0,0
40128000,1,0,0,0,0,0
40228000,1,0,0,0,0,0
40328000,1,0,0,0,0,0
40428000,1,0,0,0,0,0
40528000,1,0,0,0,0,0
40628000,1,0,0,0,0,0
40728000,1,0,0,0,0,0
40828000,1,0,0,0,0,0
40928000,1,0,0,0,0,0
41028000,1,0,0,0,0,0
41128000,1,0,0,0,0,0
41228000,1,0,0,0,0,0
41328000,1,0,0,0,0,0
41428000,1,0,0,0,0,0
41528000,1,0,0,0,0,0
41628000,1,0,0,0,0,0
41728000,1,0,0,0,0,0
41828000,1,0,0,0,0,0
41928000,1,0,0,0,0,0
42028000,1,0,0,0,0,0
42128000,1,0,0,0,0,0
42228000,1,0,0,0,0,0
42328000,1,0,0,0,0,0
42428000,1,0,0,0,0,0
42528000,1,0,0,0,0,0
42628000,1,0,0,0,0,0
42728000,1,0,0,0,0,0
42828000,1,0,0,0,0,0
42928000,1,0,0,0,0,0
43028000,1,0,0,0,0,0
43128000,1,0,0,0,0,0
43228000,1,0,0,0,0,0
43328000,1,0,0,0,0,0
43428000,1,0,0,0,0,0
43528000,1,0,0,0,0,0
43628000,1,0,0,0,0,0
43728000,1,0,0,0,0,0
43828000,1,0,0,0,0,0
43928000,1,0,0,0,0,0
44028000,1,0,0,0,0,0
44128000,1,0,0,0,0,0
44228000,1,0,0,0,0,0
44328000,1,0,0,0,0,0
44428000,1,0,0,0,0,0
44528000,1,0,0,0,0,0
44628000,1,0,0,0,0,0
44728000,1,0,0,0,0,0
44828000,1,0,0,0,0,0
44928000,1,0,0,0,0,0
45028000,1,0,0,0,0,0
45128000,1,0,0,0,0,0
45228000,1,0,0,0,0,0
45328000,1,0,0,0,0,0
45428000,1,0,0,0,0,0
45528000,1,0,0,0,0,0
45628000,1,0,0,0,0,0
45728000,1,0,0,0,0,0
45828000,1,0,0,0,0,0
45928000,1,0,0,0,0,0
46028000,1,0,0,0,0,0
46128000,1,0,0,0,0,0
46228000,1,0,0,0,0,0
46328000,1,0,0,0,0,0
46428000,1,0,0,0,0,0
46528000,1,0,0,0,0,0
46628000,1,0,0,0,0,0
46728000,1,0,0,0,0,0
46828000,1,0,0,0,0,0
46928000,1,0,0,0,0,0
47028000,1,0,0,0,0,0
47128000,1,0,0,0,0,0
47228000,1,0,0,0,0,0
47328000,1,0,0,0,0,0
47428000,1,0,0,0,0,0
47528000,1,0,0,0,0,0
47628000,1,0,0,0,0,0
47728000,1,0,0,0,0,0
47828000,1,0,0,0,0,0
47928000,1,0,0,0,0,0
48028000,1,0,0,0,0,0
48128000,1,0,0,0,0,0
48228000,1,0,0,0,0,0
48328000,1,0,0,0,0,0
48428000,1,0,0,0,0,0
48528000,1,0,0,0,0,0
48628000,1,0,0,0,0,0
48728000,1,0,0,0,0,0
48828000,1,0,0,0,0,0
48928000,1,0,0,0,0,0
49028000,1,0,0,0,0,0
49128000,1,0,0,0,0,0
49228000,1,0,0,0,0,0
49328000,1,0,0,0,0,0
49428000,1,0,0,0,0,0
49528000,1,0,0,0,0,0
49628000,1,0,0,0,0,0
49728000,1,0,0,0,0,0
49828000,1,0,0,0,0,0
49928000,1,0,0,0,0,0
50028000,1,0,0,0,0,0
50128000,1,0,0,0,0,0
50228000,1,0,0,0,0,0
50328000,1,0,0,0,0,0
50428000,1,0,0,0,0,0
50528000,1,0,0,0,0,0
50628000,1,0,0,0,0,0
50728000,1,0,0,0,0,0
50828000,1,0,0,0,0,0
50928000,1,0,0,0,0,0
51028000,1,0,0,0,0,0
51128000,1,0,0,0,0,0
51228000,1,0,0,0,0,0
51328000,1,0,0,0,0,0
51428000,1,0,0,0,0,0
51528000,1,0,0,0,0,0
51628000,1,0,0,0,0,0
51728000,1,0,0,0,0,0
51828000,1,0,0,0,0,0
51928000,1,0,0,0,0,0
52028000,1,0,0,0,0,0
52128000,1,0,0,0,0,0
52228000,1,0,0,0,0,0
52328000,1,0,0,0,0,0
52428000,1,0,0,0,0,0
52528000,1,0,0,0,0,0
52628000,1,0,0,0,0,0
